Url_path,Title,Desc
https://www2.hm.com/en_us/productpage.1182383003.html,Voluminous Lace-detail Dress,"Short, loose-fit, A-line dress in textured, woven cotton fabric with hemstitch embroidery. Lace-trimmed V-neck, short puff sleeves with narrow elastic at cuffs, and a gathered seam below bust and above hem. Partly lined."
https://www2.hm.com/en_us/productpage.1058340008.html,Linen-blend Shorts,"Shorts in a woven linen and viscose blend. Regular waist, waistband with drawstring and covered elastic, diagonal side pockets and welt back pockets. Unlined."
https://www2.hm.com/en_us/productpage.1147831004.html,High Denim Shorts,"5-pocket shorts in denim with gentle stretch. High waist, zip fly with button, and raw-edge hems."
https://www2.hm.com/en_us/productpage.1126550007.html,Cotton Tunic Dress,"Knee-length tunic dress in woven cotton fabric. Band collar, V-shaped opening at front with narrow ties at top, and short butterfly sleeves. Gently rounded hem. Unlined."
https://www2.hm.com/en_us/productpage.0993840013.html,Nail polish,"Fashion-focused nail polish in a gorgeous array of inspiring colors and effects. Application is quick and easy – one coat of the high-gloss formula provides a rich, flawless finish. 0.27 fl. oz. Instructions: Apply over base coat and finish with a top coat for extra protection and shine."
https://www2.hm.com/en_us/productpage.0992104039.html,Sweatshorts,"Lightweight sweatshorts made from a cotton blend. High waist, covered, elasticized waistband with drawstring, and side pockets."
https://www2.hm.com/en_us/productpage.1178436001.html,Scoop-neck T-shirt,Fitted T-shirt in soft cotton jersey. Scoop neckline and straight-cut hem.
https://www2.hm.com/en_us/productpage.1151420004.html,Espadrille Slides,"Espadrille-style slides with woven, fringe-trimmed crossover foot straps. Insoles in jute-blend canvas and soles with braided jute trim. Sole height 1/2 in."
https://www2.hm.com/en_us/productpage.1185381001.html,Curvy Fit Wide Regular Jeans,"5-pocket, wide-leg jeans in rigid cotton denim that feels firm at first, softening and relaxing with wear. Curvy fit, designed for less gaping at waist and more room through hip and thigh. Straight, wide cut from thigh to hem. Regular waist and zip fly with button. Regular length, designed to fall at top of foot with little or no stacking. Inspired by the 70s, designed for today."
https://www2.hm.com/en_us/productpage.0993840013.html,Nail polish,"Fashion-focused nail polish in a gorgeous array of inspiring colors and effects. Application is quick and easy – one coat of the high-gloss formula provides a rich, flawless finish. 0.27 fl. oz. Instructions: Apply over base coat and finish with a top coat for extra protection and shine."
https://www2.hm.com/en_us/productpage.1140173001.html,Smocked-waist Top,"Loose-fit top in soft jersey. Round, ribbed neckline, short sleeves, and wide smocking at waist."
